Year,Sea Temperature (Celsius)
1993,22.63
1994,23.45
1995,22.58
1996,23.06
1997,23.18
1998,23.37
1999,23.3
2000,22.81
2001,23.45
2002,23.56
2003,23.56
2004,23.31
2005,22.62
2006,23.25
2007,23.29
2008,22.78
2009,23.6
2010,22.83
2011,22.38
2012,22.69
2013,22.34
2014,23.31
2015,23.46
2016,23.28
2017,23.56
2018,23.63
2019,24.19
2020,23.83
2021,24.16
2022,23.78
